,"Ship FY
",Grand Total,Grand Total,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
SAV Account,Product ID,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value,Item Qty,Total Value
OK-STATE OF OKLAHOMA,LIC-WPLUS-SW,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,N20-CBLKB1,4,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,UNITY-4.X,5,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,CF-ADAPTER-SP,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,SWLC4400K9-40,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,S384RAISK9-12409T,1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,SF-ASA5505-7.2-K8,7,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,S113W7K9-12311JA,4,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,S113RK9W-12311JX,7,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-STATE OF OKLAHOMA,WCS-STANDARD-K9,2,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
